name,cpu_time_total_ms,cuda_time_total_ms,cpu_time_avg_ms,cuda_time_avg_ms,count,self_cpu_memory_mb
ProfilerStep*,818.6682850000001,0,40.93341425,0.0,20,0.0
MOVE_ITERATION,812.451289,0,40.62256445,0.0,20,0.0
board_step,690.1216470000002,0,34.50608235000001,0.0,20,-4.57763671875e-05
aten::nonzero,279.5235739999999,0,0.7493929597855226,0.0,373,0.0
aten::item,212.17078700000113,0,0.15264085395683535,0.0,1390,-9.441375732421875e-05
aten::_local_scalar_dense,211.61375099999879,0,0.15224010863309265,0.0,1390,-0.0036153793334960938
aten::index,175.42287499999927,0,0.3748352029914514,0.0,468,0.0
aten::is_nonzero,120.79933199999994,0,0.27268472234762964,0.0,443,0.0
aten::bincount,81.48691900000011,0,4.288785210526322,0.0,19,0.0
compute_legal_moves,66.49779299999992,0,3.324889649999996,0.0,20,-4.57763671875e-05
aten::index_put_,63.888831999999326,0,0.2515308346456666,0.0,254,0.0
aten::_index_put_impl_,63.726712999999506,0,0.2508925708661398,0.0,254,0.0
bot_select_moves,53.86412999999999,0,2.693206499999999,0.0,20,0.0
aten::copy_,46.94083299999977,0,0.01640140915443738,0.0,2862,0.0
aten::to,46.16869600000065,0,0.05240487627695874,0.0,881,0.0
aten::_to_copy,45.964676999999426,0,0.06829818276374358,0.0,673,0.0
aten::arange,45.609739000000104,0,1.2002562894736868,0.0,38,0.0
aten::count_nonzero,35.072978000000234,0,0.09402943163538938,0.0,373,0.0
aten::any,30.41220199999969,0,0.07189645862884088,0.0,423,0.0
aten::rsub,26.23597700000017,0,0.4446775762711893,0.0,59,1.52587890625e-05
aten::sub,26.129183999999817,0,0.44286752542372576,0.0,59,0.0
aten::nonzero_numpy,26.006767999999997,0,0.4562590877192982,0.0,57,0.0
aten::scatter_,24.472497999999963,0,1.2880262105263138,0.0,19,0.0
aten::gather,24.320086999999948,0,0.6235919743589731,0.0,39,0.0
aten::mul,22.315652999999948,0,0.5721962307692293,0.0,39,0.0
aten::min,21.580863000000186,0,0.5533554615384664,0.0,39,0.0
aten::add,21.544278999999722,0,0.5524174102564031,0.0,39,0.0
aten::max,21.44782699999996,0,0.5499442820512811,0.0,39,0.0
aten::ge,21.39036400000015,0,0.15388751079136798,0.0,139,4.57763671875e-05
aten::multinomial,20.75783900000004,0,1.037891950000002,0.0,20,-3.814697265625e-05
aten::add_,9.835619000000417,0,0.024589047500001043,0.0,400,0.0
