================================================================================
PROFILE REPORT - CPU TIME
================================================================================

-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          compute_legal_moves         0.47%       3.882ms         8.12%      66.498ms       3.325ms           0 b         -48 b            20  
                     aten::ge         2.61%      21.331ms         2.61%      21.390ms     153.888us          48 b          48 b           139  
                  aten::zero_         0.08%     674.609us         0.08%     674.609us       2.765us           0 b           0 b           244  
                  aten::slice         0.49%       4.011ms         0.61%       4.963ms       0.730us           0 b           0 b          6797  
             aten::as_strided         0.21%       1.709ms         0.21%       1.709ms       0.173us           0 b           0 b          9864  
                     aten::to         0.02%     204.019us         5.64%      46.169ms      52.405us           0 b           0 b           881  
               aten::_to_copy         0.08%     618.142us         5.61%      45.965ms      68.298us           0 b           0 b           673  
                  aten::copy_         5.73%      46.941ms         5.73%      46.941ms      16.401us           0 b           0 b          2862  
                   aten::add_         1.20%       9.836ms         1.20%       9.836ms      24.589us           0 b           0 b           400  
                     aten::gt         0.18%       1.450ms         0.18%       1.470ms      24.506us          40 b          40 b            60  
                aten::__and__         0.01%      43.550us         0.09%     752.697us       6.272us           0 b           0 b           120  
            aten::bitwise_and         0.07%     576.930us         1.20%       9.794ms      69.956us           0 b           0 b           140  
                 aten::expand         0.09%     717.492us         0.13%       1.043ms       0.641us           0 b           0 b          1628  
                   aten::rsub         0.01%     106.793us         3.20%      26.236ms     444.678us          16 b          16 b            59  
                    aten::sub         3.19%      26.107ms         3.19%      26.129ms     442.868us           0 b           0 b            59  
                  aten::index         0.58%       4.753ms        21.43%     175.423ms     374.835us           0 b           0 b           468  
                aten::reshape         0.04%     363.009us         0.07%     541.879us       0.567us           0 b           0 b           955  
                   aten::view         0.03%     239.120us         0.03%     239.120us       0.248us           0 b           0 b           966  
                    aten::any         3.71%      30.398ms         3.71%      30.412ms      71.896us           0 b           0 b           423  
                     aten::eq         0.46%       3.798ms         0.47%       3.850ms      48.736us          32 b          32 b            79  
                aten::__ior__         0.02%     134.410us         0.66%       5.363ms      12.052us           0 b           0 b           445  
            aten::bitwise_or_         0.24%       1.935ms         0.64%       5.229ms      11.750us           0 b           0 b           445  
                 aten::select         0.07%     582.311us         0.09%     769.768us       1.362us           0 b           0 b           565  
             bot_select_moves         0.19%       1.526ms         6.58%      53.864ms       2.693ms           0 b           0 b            20  
                   aten::full         0.01%      69.341us         0.35%       2.857ms      73.266us           0 b           0 b            39  
                  aten::empty         0.11%     890.271us         0.11%     890.271us       0.427us           0 b           0 b          2086  
                  aten::fill_         0.61%       4.971ms         0.61%       4.971ms      31.866us           0 b           0 b           156  
                aten::nonzero        22.45%     183.801ms        34.14%     279.524ms     749.393us           0 b           0 b           373  
          aten::count_nonzero         4.25%      34.824ms         4.28%      35.073ms      94.029us           0 b           0 b           373  
                aten::resize_         0.03%     232.726us         0.03%     232.726us       0.565us           0 b           0 b           412  
                    aten::sum         0.18%       1.510ms         0.18%       1.510ms      25.166us           0 b           0 b            60  
                  aten::clamp         0.05%     405.573us         0.05%     406.655us      20.333us           0 b           0 b            20  
                    aten::div         0.12%     945.112us         0.12%     945.112us      23.628us           0 b           0 b            40  
            aten::multinomial         0.03%     256.822us         2.54%      20.758ms       1.038ms           0 b         -40 b            20  
                    aten::max         2.62%      21.414ms         2.62%      21.448ms     549.944us           0 b           0 b            39  
                     aten::lt         0.12%     963.652us         0.12%     983.111us      24.578us          16 b          16 b            40  
                    aten::min         2.63%      21.561ms         2.64%      21.581ms     553.355us           0 b           0 b            39  
           aten::exponential_         0.10%     845.447us         0.10%     845.447us      42.272us           0 b           0 b            20  
                 aten::argmax         0.07%     556.786us         0.07%     556.786us      27.839us           0 b           0 b            20  
                aten::squeeze         0.01%      98.957us         0.02%     132.954us       1.821us           0 b           0 b            73  
           aten::floor_divide         0.06%     456.502us         0.06%     480.584us      24.029us           0 b           0 b            20  
              aten::remainder         0.06%     463.531us         0.06%     471.401us      23.570us           0 b           0 b            20  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 818.668ms

